fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,12.8,,1.0,1.17,,,,2,4,2,4,1,,4,436,3,,,,,,,,,,,,0,,2512,2313,2021-11-04,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.753,0.693,0,,2
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.0,other,5.1,,1.0,1.16,,,,1,0,1,4,1,,4,930,0,,,,,,,,,,,,2,,3738,3152,2021-11-04,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.663,0.559,0,,1
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.083,other,79.2,,0.88,0.1,,,0.92,5,1,5,4,0,,3,57327,338,,,,563,516,75,,57,52,14,,172,,185037,162085,2021-11-04,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.642,0.563,5,,3
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.006,other,106.4,,0.83,0.32,,,,5,0,5,4,0,,4,6023,27,,,,,,,,,,,,1,,11597,10675,2021-11-04,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.631,0.581,0,,3
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,,4,608,2,,,,,,,,,,,,0,,,,2021-11-04,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,0
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.05,other,13.6,,,,,,,2,1,2,4,4,,4,266,1,,,,,,,,,,,,0,,1141,977,2021-11-04,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.544,0.466,0,,2
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.042,other,90.1,,0.8,0.5,,,,5,1,5,4,0,,4,904,6,,,,,,,,,,,,2,,2422,2150,2021-11-04,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.493,0.437,0,,3
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.128,other,57.4,,0.84,0.17,,,0.58,3,2,3,4,0,,0,15727,89,,,,81,71,21,,13,7,2,,70,,54142,46812,2021-11-04,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.559,0.483,0,,3
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,16.9,,0.99,1.17,,,,2,4,2,4,1,,4,226,1,,,,,,,,,,,,1,,1714,1631,2021-11-04,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.677,0.645,0,,3
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.132,other,0.0,,,,,,,0,2,0,4,4,,4,0,0,,,,,,,,,,,,0,,1515,1425,2021-11-04,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.705,0.663,0,,3
